algorithm_name,sampler,current_instance,problem_name,hv_value,params
NSGA2,TPESampler,1,pressure_vessel,1.1204348148703174e13,"p_cr = 0.9524362237646586, N = 498, η_m = 51.65829460108425, η_cr = 56.551967016787216"
NSGA2,TPESampler,2,vibrating_platform,4.609009147098322,"p_cr = 0.8879886527627053, N = 455, η_m = 29.47063295488657, η_cr = 99.80437836109856"
NSGA2,TPESampler,3,two_bar_Truss_design_problems,8896.113983260253,"p_cr = 0.7908180026385448, N = 500, η_m = 5.039682428810673, η_cr = 17.286626810342987"
NSGA2,TPESampler,4,weldan_beam_design,0.4049408741423446,"p_cr = 0.33674298231925653, N = 462, η_m = 54.642681325088276, η_cr = 26.360964972205398"
NSGA2,TPESampler,5,disc_brake_design,6.104241698089865,"p_cr = 0.6564918494999374, N = 476, η_m = 39.97756948363212, η_cr = 40.584170588676194"
NSGA2,TPESampler,6,speed_reducer_design,1.773104042784916e6,"p_cr = 0.8581955321569197, N = 468, η_m = 44.128074997469234, η_cr = 63.80467375945829"
NSGA2,TPESampler,7,gear_train_design,66.81548487645043,"p_cr = 0.877028841470945, N = 488, η_m = 63.98332206794645, η_cr = 34.23144072718643"
NSGA2,TPESampler,8,car_side_impact_design,39.698129978203276,"p_cr = 0.6945259184086003, N = 496, η_m = 4.929983248764023, η_cr = 5.7254725570135125"
NSGA2,TPESampler,9,four_bar_plane_truss,41.59885123541913,"p_cr = 0.5802369021198858, N = 500, η_m = 45.28144376993801, η_cr = 97.08185440616451"
NSGA2,TPESampler,10,two_bar_plane_truss,0.004879677146482855,"p_cr = 0.6166686401586463, N = 500, η_m = 22.904432813130878, η_cr = 84.00229336455332"
NSGA2,TPESampler,11,water_tesource_management,2.2869219605500665e24,"p_cr = 0.7939942335415298, N = 479, η_m = 4.314615828583705, η_cr = 11.456241501094194"
NSGA2,TPESampler,12,simply_supported_I_beam_design,13.853754318320709,"p_cr = 0.3591580571306397, N = 488, η_m = 27.985802563225434, η_cr = 33.54593020194095"
